"Scenario";"Region";"Carrier.x";"Indicator";"Year";"ymax";"ymin"
"2DS";"CHINA";"Gas";"Industry";2017;5.8553329225368;5.13104058387703
"2DS";"CHINA";"Electricity";"Industry";2017;32.4193132538727;28.2320052896372
"2DS";"CHINA";"Heat";"Industry";2017;6.14282616488599;5.86142882338595
"2DS";"CHINA";"Bioenergy";"Industry";2017;0.415879752266125;0.0442331084816985
"2DS";"CHINA";"Other renewables";"Industry";2017;0.0721842234122124;0.0331748313612739
"2DS";"CHINA";"Coal";"Industry";2018;52.830689444813;48.2579879928968
"2DS";"CHINA";"Oil";"Industry";2018;6.58507137723792;5.48653106102254
"2DS";"CHINA";"Gas";"Industry";2018;6.32911805349219;5.69013093906724
"2DS";"CHINA";"Electricity";"Industry";2018;32.9075912766427;28.4894808140906
"2DS";"CHINA";"Heat";"Industry";2018;6.1960263046341;5.93582140792351
"2DS";"CHINA";"Bioenergy";"Industry";2018;0.512110258821699;0.0879604178119846
"2DS";"CHINA";"Other renewables";"Industry";2018;0.097042644094205;0.0499185796371321
"2DS";"CHINA";"Coal";"Industry";2019;51.7566676381319;47.2218985330363
"2DS";"CHINA";"Oil";"Industry";2019;6.54868744014594;5.47720564119383
"2DS";"CHINA";"Gas";"Industry";2019;6.79380359236993;5.99148259237858
"2DS";"CHINA";"Electricity";"Industry";2019;33.373425968864;28.7420112229431
"2DS";"CHINA";"Heat";"Industry";2019;6.24766561296659;5.98196575568997
"2DS";"CHINA";"Bioenergy";"Industry";2019;0.615305216154444;0.131190554280092
"2DS";"CHINA";"Other renewables";"Industry";2019;0.121627894579281;0.0551597908111313
"2DS";"CHINA";"Coal";"Industry";2020;50.7030774574347;46.2157672861782
"2DS";"CHINA";"Oil";"Industry";2020;6.51335553357785;5.4679856506142
"2DS";"CHINA";"Gas";"Industry";2020;7.26165887596478;6.27929402749048
"2DS";"CHINA";"Electricity";"Industry";2020;33.8183299533615;28.9897376261124
"2DS";"CHINA";"Heat";"Industry";2020;6.34657512448934;5.98556074433142
"2DS";"CHINA";"Bioenergy";"Industry";2020;0.764928604405164;0.173931949124905
"2DS";"CHINA";"Other renewables";"Industry";2020;0.145944453079435;0.0602494539510813
"2DS";"CHINA";"Coal";"Industry";2021;49.6301930713656;45.2673712817218
"2DS";"CHINA";"Oil";"Industry";2021;6.39560309731017;5.45886931142579
"2DS";"CHINA";"Gas";"Industry";2021;7.95589665982056;6.70467630632745
"2DS";"CHINA";"Electricity";"Industry";2021;34.2358242403836;29.4944708565564
"2DS";"CHINA";"Heat";"Industry";2021;6.30656529059085;5.96103418565141
"2DS";"CHINA";"Bioenergy";"Industry";2021;0.922707937180231;0.216192844016863
"2DS";"CHINA";"Other renewables";"Industry";2021;0.16999670045397;0.0950028176092292
"2DS";"CHINA";"Coal";"Industry";2022;48.5527753322737;44.3191134268945
"2DS";"CHINA";"Oil";"Industry";2022;6.27786781364047;5.41640615217675
"2DS";"CHINA";"Gas";"Industry";2022;8.64237342792647;7.12739441630124
"2DS";"CHINA";"Electricity";"Industry";2022;34.6507037610289;30.0013367808355
"2DS";"CHINA";"Heat";"Industry";2022;6.2663863996124;5.93666123678829
"2DS";"CHINA";"Bioenergy";"Industry";2022;1.13790175351968;0.257981296356014
"2DS";"CHINA";"Other renewables";"Industry";2022;0.193788922840651;0.127269351962461
"2DS";"CHINA";"Coal";"Industry";2023;47.4707954465623;43.3709936915129
"2DS";"CHINA";"Oil";"Industry";2023;6.16014967882118;5.35926373741907
"2DS";"CHINA";"Gas";"Industry";2023;9.32121859967932;7.54747330781078
"2DS";"CHINA";"Electricity";"Industry";2023;35.0629930030333;30.5103489447569
"2DS";"CHINA";"Heat";"Industry";2023;6.23190885562141;5.91244045915973
"2DS";"CHINA";"Bioenergy";"Industry";2023;1.35400677236316;0.299305184393373
"2DS";"CHINA";"Other renewables";"Industry";2023;0.237899574094762;0.159334431891969
"2DS";"CHINA";"Coal";"Industry";2024;46.384224376274;42.4230120454021
"2DS";"CHINA";"Oil";"Industry";2024;6.04244868910583;5.30273247309117
"2DS";"CHINA";"Gas";"Industry";2024;9.99255873285851;7.96493762067155
"2DS";"CHINA";"Electricity";"Industry";2024;35.474919386305;31.0215210090862
"2DS";"CHINA";"Heat";"Industry";2024;6.28922631375684;5.88837043209094
"2DS";"CHINA";"Bioenergy";"Industry";2024;1.57102879349346;0.340172212182417
"2DS";"CHINA";"Other renewables";"Industry";2024;0.295197832779717;0.191199938181741
"2DS";"CHINA";"Coal";"Industry";2025;45.2930328364931;41.4751684583962
"2DS";"CHINA";"Oil";"Industry";2025;5.92476484074903;5.24680260676704
"2DS";"CHINA";"Gas";"Industry";2025;10.6565176022835;8.37981168893325
"2DS";"CHINA";"Electricity";"Industry";2025;36.0066311435088;31.5348667507692
"2DS";"CHINA";"Heat";"Industry";2025;6.34593401010269;5.86444975253689
"2DS";"CHINA";"Bioenergy";"Industry";2025;1.78897366601867;0.380589914367269
"2DS";"CHINA";"Other renewables";"Industry";2025;0.352739743135032;0.222867728276329
"2DS";"CHINA";"Coal";"Industry";2026;44.197191292714;40.5274629003383
"2DS";"CHINA";"Oil";"Industry";2026;5.80709813000649;5.14561926060848
"2DS";"CHINA";"Gas";"Industry";2026;11.4214654677635;8.79211954560809
"2DS";"CHINA";"Electricity";"Industry";2026;36.5382654706225;32.0504000641702
"2DS";"CHINA";"Heat";"Industry";2026;6.28942639585016;5.84067703480965
"2DS";"CHINA";"Bioenergy";"Industry";2026;2.00784728889766;0.440022957719533
"2DS";"CHINA";"Other renewables";"Industry";2026;0.410526862606672;0.254339636641767
"2DS";"CHINA";"Coal";"Industry";2027;43.0966699581772;39.5798953410799
"2DS";"CHINA";"Oil";"Industry";2027;5.68944855313501;5.04385958016742
"2DS";"CHINA";"Gas";"Industry";2027;12.1946528178496;9.20188492731167
"2DS";"CHINA";"Electricity";"Industry";2027;37.0698223845583;32.5681349623249
"2DS";"CHINA";"Heat";"Industry";2027;6.2325969176096;5.81705091031084
"2DS";"CHINA";"Bioenergy";"Industry";2027;2.2276556114723;0.500096172340835
"2DS";"CHINA";"Other renewables";"Industry";2027;0.46856076194275;0.28561747511981
"2DS";"CHINA";"Coal";"Industry";2028;41.99143879117;38.6324657504816
"2DS";"CHINA";"Oil";"Industry";2028;5.57181610639246;4.9415186272316
"2DS";"CHINA";"Gas";"Industry";2028;12.9762134983562;9.60913127881816
"2DS";"CHINA";"Electricity";"Industry";2028;37.6013019022235;33.0880855782107
"2DS";"CHINA";"Heat";"Industry";2028;6.17544281754978;5.793570027269
"2DS";"CHINA";"Bioenergy";"Industry";2028;2.44840463400652;0.560819957455038
"2DS";"CHINA";"Other renewables";"Industry";2028;0.52684302533584;0.316703033275639
"2DS";"CHINA";"Coal";"Industry";2029;40.8814674922932;37.6851740984124
"2DS";"CHINA";"Oil";"Industry";2029;5.45420078603783;4.83859140701101
"2DS";"CHINA";"Gas";"Industry";2029;13.7662842698814;10.0138817575318
"2DS";"CHINA";"Electricity";"Industry";2029;38.1327040405208;33.6102661660323
"2DS";"CHINA";"Heat";"Industry";2029;6.11796130624261;5.77023305048174
"2DS";"CHINA";"Bioenergy";"Industry";2029;2.6701004082323;0.622204938751701
"2DS";"CHINA";"Other renewables";"Industry";2029;0.585375250567136;0.347598078739179
"2DS";"CHINA";"Coal";"Industry";2030;39.7667255016917;36.7380203547504
"2DS";"CHINA";"Oil";"Industry";2030;5.33660258833118;4.7250694106354
"2DS";"CHINA";"Gas";"Industry";2030;14.5650048875855;10.4161592378766
"2DS";"CHINA";"Electricity";"Industry";2030;38.6640288163476;34.1346911025246
"2DS";"CHINA";"Heat";"Industry";2030;6.06014956220933;5.74703866106266
"2DS";"CHINA";"Bioenergy";"Industry";2030;2.89274903790266;0.684261974584555
"2DS";"CHINA";"Other renewables";"Industry";2030;0.644159049152459;0.378304357540152
"2DS";"CHINA";"Coal";"Industry";2031;38.6975792610283;35.9578260948068
