"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.0.1","IMA15-TOT","World","Forcing","W/m2","",1.926409006,2.099736929,2.347214937,2.633665085,2.803874969,2.864216089,2.851666927,2.779962063,2.673639059,2.553088903,"",2.327680111,"",2.142668009,"",2.011275053,"",1.936812997,"",1.893128037
"MERGE-ETL 6.0","BAU","World","Forcing","W/m2",4.15,4.33,4.5,"",4.7,"",5.32,"",6.16,"",6.97,"",7.75,"",8.32,"",8.72,"",9.01,"",9.24
"MERGE-ETL 6.0","DAC15_50","World","Forcing","W/m2",4.15,4.33,4.5,"",4.63,"",4.79,"",4.93,"",5.02,"",5.09,"",4.97,"",4.68,"",4.18,"",3.4
"MERGE-ETL 6.0","DAC2_66","World","Forcing","W/m2",4.15,4.33,4.5,"",4.66,"",4.98,"",5.33,"",5.56,"",5.72,"",5.69,"",5.5,"",5.16,"",4.68
"MESSAGE V.3","GEA_Eff_1p5C","World","Forcing","W/m2","",1.620393202,1.910188973,"",2.452734902,"",2.683489308,"",2.738146384,"",2.708512862,"",2.608144457,"",2.454229141,"",2.264468591,"",2.050056547,"",1.81773553
"MESSAGE V.3","GEA_Eff_1p5C_Delay2020","World","Forcing","W/m2","",1.619766861,1.905033529,"",2.406585604,"",2.886376098,"",3.041657366,"",2.995961622,"",2.825344928,"",2.572800808,"",2.297059372,"",2.037144205,"",1.801419933
"MESSAGE V.3","GEA_Eff_2C_Delay2020","World","Forcing","W/m2","",1.619758994,1.905023224,"",2.402499459,"",2.842084244,"",3.189741015,"",3.340288315,"",3.280596279,"",3.108545556,"",2.880802885,"",2.631597011,"",2.374556012
"MESSAGE V.3","GEA_Eff_AdvNCO2_1p5C","World","Forcing","W/m2","",1.620405049,1.908659666,"",2.431977853,"",2.732630595,"",2.885659851,"",2.858475447,"",2.72941826,"",2.541708477,"",2.318940526,"",2.058619809,"",1.763096711
"MESSAGE V.3","GEA_Eff_base","World","Forcing","W/m2","",1.620390176,1.905286088,"",2.410768412,"",2.865487121,"",3.353184167,"",3.823197357,"",4.265165499,"",4.653690065,"",5.016778167,"",5.351548258,"",5.647499329
"MESSAGE V.3","GEA_Mix_1p5C_AdvNCO2_PartialDelay2020","World","Forcing","W/m2","",1.620007187,1.909113049,"",2.469767973,"",2.835443057,"",3.00056459,"",2.913934768,"",2.70945958,"",2.46229496,"",2.22059498,"",2.012373165,"",1.819123145
"MESSAGE V.3","GEA_Mix_1p5C_AdvTrans_PartialDelay2020","World","Forcing","W/m2","",1.620020598,1.909140803,"",2.470723123,"",2.840883002,"",3.020295456,"",2.985124672,"",2.831642525,"",2.595316998,"",2.339014752,"",2.093783431,"",1.861275047
"MESSAGE V.3","GEA_Mix_2C_AdvNCO2_PartialDelay2020","World","Forcing","W/m2","",1.620020509,1.90911904,"",2.466902838,"",2.822967656,"",3.146021221,"",3.239354361,"",3.163775141,"",3.008294556,"",2.810925658,"",2.58531801,"",2.353426725
"MESSAGE V.3","GEA_Mix_2C_AdvTrans_PartialDelay2020","World","Forcing","W/m2","",1.620020509,1.909141764,"",2.467937603,"",2.835104659,"",3.193126939,"",3.330137679,"",3.283012654,"",3.134057196,"",2.934153582,"",2.700007495,"",2.448778291
"MESSAGE V.3","GEA_Mix_base","World","Forcing","W/m2","",1.621100441,1.903714135,"",2.436418876,"",2.993156642,"",3.634040393,"",4.231263284,"",4.815780554,"",5.365853492,"",5.883077281,"",6.268716935,"",6.580373657
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_1.5C-2100","World","Forcing","W/m2","",1.8125308,2.0770471,"",2.5504024,"",2.9744474,"",2.9378376,"",2.809355,"",2.6595949,"",2.4823482,"",2.2804548,"",2.0829105,"",1.9107426
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_Med2C","World","Forcing","W/m2","",1.8125293,2.0770335,"",2.5404848,"",2.9286438,"",3.2051671,"",3.3728468,"",3.4148386,"",3.3896262,"",3.3123671,"",3.2074401,"",3.0962197
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_WB2C","World","Forcing","W/m2","",1.8125293,2.0770361,"",2.5444073,"",2.9508296,"",3.1209334,"",3.1462803,"",3.0758387,"",2.9652845,"",2.8252883,"",2.6720979,"",2.5175466
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Med2C","World","Forcing","W/m2","",1.8125293,2.0770422,"",2.535879,"",2.9040868,"",3.2796629,"",3.4269172,"",3.4598359,"",3.4058727,"",3.3133365,"",3.1978579,"",3.0751199
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Price1.5C","World","Forcing","W/m2","",1.8125284,2.0770313,"",2.5358883,"",2.910369,"",3.2777999,"",3.161782,"",2.9992242,"",2.8294062,"",2.6492671,"",2.4585184,"",2.2782232
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_WB2C","World","Forcing","W/m2","",1.8125308,2.0770459,"",2.5359076,"",2.9091352,"",3.2931988,"",3.2447735,"",3.1224297,"",2.9801585,"",2.8190581,"",2.6344054,"",2.4597616
"MESSAGE-GLOBIOM 1.0","ADVANCE_INDC","World","Forcing","W/m2","",1.8125283,2.0770359,"",2.5358341,"",2.9000202,"",3.2609404,"",3.4898454,"",3.6566919,"",3.7899246,"",3.8910449,"",3.9625478,"",4.0133947
"MESSAGE-GLOBIOM 1.0","ADVANCE_NoPolicy","World","Forcing","W/m2","",1.8125283,2.0745227,"",2.5230396,"",2.9509599,"",3.443901,"",3.942449,"",4.4464697,"",4.9706926,"",5.5075001,"",6.0799846,"",6.6728272
"MESSAGE-GLOBIOM 1.0","ADVANCE_Reference","World","Forcing","W/m2","",1.8125283,2.0770279,"",2.5343947,"",2.9037147,"",3.3414001,"",3.7228939,"",4.0348438,"",4.3115974,"",4.5478707,"",4.756716,"",4.9609775
"REMIND 1.5","EMC_Def_100$","World","Forcing","W/m2","",1.811820984,1.986706018,"",2.517740011,"",2.872018099,"",2.924371004,"",2.780644894,"",2.584448099,"",2.420486927,"",2.286195993,"",2.15335393,"",2.032922029
"REMIND 1.5","EMC_Def_30$","World","Forcing","W/m2","",1.811820984,1.986706018,"",2.520366907,"",2.994667053,"",3.23725605,"",3.308646917,"",3.278796911,"",3.22218895,"",3.14755702,"",3.044449091,"",2.937165976
"REMIND 1.5","EMC_LimSW_100$","World","Forcing","W/m2","",1.811820984,1.986583948,"",2.516989946,"",2.878608942,"",2.945137978,"",2.820440054,"",2.660407066,"",2.536941051,"",2.432312965,"",2.323826075,"",2.219063997
"REMIND 1.5","EMC_LimSW_30$","World","Forcing","W/m2","",1.811820984,1.986583948,"",2.510628939,"",2.992436886,"",3.247967005,"",3.342314005,"",3.345762968,"",3.340799093,"",3.337532997,"",3.316415071,"",3.283343077
"REMIND 1.5","EMC_NucPO_100$","World","Forcing","W/m2","",1.811820984,1.988054991,"",2.517185926,"",2.87447691,"",2.924618959,"",2.77603507,"",2.579361916,"",2.42040801,"",2.289419889,"",2.157655954,"",2.037249088
"REMIND 1.5","EMC_NucPO_30$","World","Forcing","W/m2","",1.811820984,1.988054991,"",2.517306089,"",2.995435953,"",3.249684095,"",3.334259987,"",3.313457966,"",3.26077795,"",3.182589054,"",3.07724905,"",2.970247984
